infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.25,0.5,500,8,23,465,0,0
0.25,0.5,500,8,24,465,0,0
0.25,0.5,500,8,25,465,0,0
0.25,0.75,500,8,1,13,8,5
0.25,0.75,500,8,2,23,10,7
0.25,0.75,500,8,3,45,22,5
0.25,0.75,500,8,4,85,40,22
0.25,0.75,500,8,5,153,68,37
0.25,0.75,500,8,6,227,74,56
0.25,0.75,500,8,7,296,69,77
0.25,0.75,500,8,8,343,47,57
0.25,0.75,500,8,9,374,31,57
0.25,0.75,500,8,10,396,22,38
0.25,0.75,500,8,11,409,13,28
0.25,0.75,500,8,12,414,5,17
0.25,0.75,500,8,13,417,3,8
0.25,0.75,500,8,14,417,0,2
0.25,0.75,500,8,15,417,0,0
0.25,0.75,500,8,16,417,0,1
0.25,0.75,500,8,17,417,0,0
0.25,0.75,500,8,18,417,0,0
0.25,0.75,500,8,19,417,0,0
0.25,0.75,500,8,20,417,0,0
0.25,0.75,500,8,21,417,0,0
0.25,0.75,500,8,22,417,0,0
0.25,0.75,500,8,23,417,0,0
0.25,0.75,500,8,24,417,0,0
0.25,0.75,500,8,25,417,0,0
0.5,0.25,500,8,1,23,18,0
0.5,0.25,500,8,2,97,74,5
0.5,0.25,500,8,3,290,193,27
0.5,0.25,500,8,4,454,164,59
0.5,0.25,500,8,5,491,37,90
0.5,0.25,500,8,6,495,4,83
0.5,0.25,500,8,7,496,1,60
0.5,0.25,500,8,8,496,0,48
0.5,0.25,500,8,9,496,0,32
0.5,0.25,500,8,10,496,0,15
0.5,0.25,500,8,11,496,0,21
0.5,0.25,500,8,12,496,0,11
0.5,0.25,500,8,13,496,0,9
0.5,0.25,500,8,14,496,0,9
0.5,0.25,500,8,15,496,0,6
0.5,0.25,500,8,16,496,0,5
0.5,0.25,500,8,17,496,0,6
0.5,0.25,500,8,18,496,0,1
0.5,0.25,500,8,19,496,0,3
0.5,0.25,500,8,20,496,0,1
0.5,0.25,500,8,21,496,0,1
0.5,0.25,500,8,22,496,0,1
0.5,0.25,500,8,23,496,0,0
0.5,0.25,500,8,24,496,0,0
0.5,0.25,500,8,25,496,0,0
0.5,0.25,500,8,26,496,0,0
0.5,0.25,500,8,27,496,0,1
0.5,0.25,500,8,28,496,0,1
0.5,0.25,500,8,29,496,0,0
0.5,0.25,500,8,30,496,0,0
0.5,0.25,500,8,31,496,0,0
0.5,0.25,500,8,32,496,0,0
0.5,0.25,500,8,33,496,0,0
0.5,0.25,500,8,34,496,0,0
0.5,0.25,500,8,35,496,0,0
0.5,0.25,500,8,36,496,0,0
0.5,0.25,500,8,37,496,0,0
0.5,0.25,500,8,38,496,0,1
0.5,0.25,500,8,39,496,0,0
0.5,0.25,500,8,40,496,0,0
0.5,0.25,500,8,41,496,0,0
0.5,0.25,500,8,42,496,0,0
0.5,0.25,500,8,43,496,0,0
0.5,0.25,500,8,44,496,0,0
0.5,0.25,500,8,45,496,0,0
0.5,0.25,500,8,46,496,0,0
0.5,0.25,500,8,47,496,0,0
0.5,0.5,500,8,1,19,14,1
0.5,0.5,500,8,2,74,55,10
0.5,0.5,500,8,3,223,149,37
0.5,0.5,500,8,4,413,190,81
0.5,0.5,500,8,5,480,67,131
0.5,0.5,500,8,6,494,14,122
0.5,0.5,500,8,7,494,0,58
0.5,0.5,500,8,8,495,1,28
0.5,0.5,500,8,9,495,0,15
0.5,0.5,500,8,10,495,0,8
0.5,0.5,500,8,11,495,0,4
0.5,0.5,500,8,12,495,0,0
0.5,0.5,500,8,13,495,0,0
0.5,0.5,500,8,14,495,0,0
0.5,0.5,500,8,15,495,0,0
0.5,0.5,500,8,16,495,0,0
0.5,0.5,500,8,17,495,0,0
0.5,0.5,500,8,18,495,0,0
0.5,0.5,500,8,19,495,0,0
0.5,0.5,500,8,20,495,0,0
0.5,0.75,500,8,1,36,31,1
0.5,0.75,500,8,2,138,102,26
0.5,0.75,500,8,3,330,192,85
0.5,0.75,500,8,4,470,140,159
0.5,0.75,500,8,5,489,19,143
0.5,0.75,500,8,6,490,1,56
0.5,0.75,500,8,7,490,0,14
0.5,0.75,500,8,8,490,0,3
0.5,0.75,500,8,9,490,0,2
0.5,0.75,500,8,10,490,0,1
0.5,0.75,500,8,11,490,0,0
0.5,0.75,500,8,12,490,0,0
0.5,0.75,500,8,13,490,0,0
0.5,0.75,500,8,14,490,0,0
0.5,0.75,500,8,15,490,0,0
0.5,0.75,500,8,16,490,0,0
0.5,0.75,500,8,17,490,0,0
0.5,0.75,500,8,18,490,0,0
0.5,0.75,500,8,19,490,0,0
0.75,0.25,500,8,1,29,24,1
0.75,0.25,500,8,2,150,121,8
0.75,0.25,500,8,3,410,260,36
0.75,0.25,500,8,4,495,85,100
0.75,0.25,500,8,5,499,4,89
0.75,0.25,500,8,6,499,0,67
0.75,0.25,500,8,7,499,0,60
0.75,0.25,500,8,8,499,0,31
0.75,0.25,500,8,9,499,0,17
0.75,0.25,500,8,10,499,0,17
0.75,0.25,500,8,11,499,0,21
0.75,0.25,500,8,12,499,0,13
0.75,0.25,500,8,13,499,0,8
0.75,0.25,500,8,14,499,0,9
0.75,0.25,500,8,15,499,0,8
0.75,0.25,500,8,16,499,0,1
0.75,0.25,500,8,17,499,0,5
0.75,0.25,500,8,18,499,0,2
0.75,0.25,500,8,19,499,0,1
0.75,0.25,500,8,20,499,0,1
0.75,0.25,500,8,21,499,0,0
0.75,0.25,500,8,22,499,0,2
0.75,0.25,500,8,23,499,0,1
0.75,0.25,500,8,24,499,0,0
0.75,0.25,500,8,25,499,0,0
0.75,0.25,500,8,26,499,0,0
0.75,0.25,500,8,27,499,0,1
0.75,0.25,500,8,28,499,0,0
0.75,0.25,500,8,29,499,0,0
0.75,0.25,500,8,30,499,0,0
0.75,0.25,500,8,31,499,0,0
0.75,0.25,500,8,32,499,0,0
0.75,0.25,500,8,33,499,0,0
0.75,0.25,500,8,34,499,0,0
0.75,0.25,500,8,35,499,0,0
0.75,0.25,500,8,36,499,0,0
0.75,0.5,500,8,1,33,28,3
0.75,0.5,500,8,2,176,143,13
0.75,0.5,500,8,3,448,272,88
0.75,0.5,500,8,4,498,50,178
0.75,0.5,500,8,5,499,1,116
0.75,0.5,500,8,6,499,0,55
0.75,0.5,500,8,7,499,0,24
0.75,0.5,500,8,8,499,0,13
0.75,0.5,500,8,9,499,0,3
0.75,0.5,500,8,10,499,0,3
0.75,0.5,500,8,11,499,0,3
0.75,0.5,500,8,12,499,0,0
0.75,0.5,500,8,13,499,0,0
0.75,0.5,500,8,14,499,0,0
0.75,0.5,500,8,15,499,0,0
0.75,0.5,500,8,16,499,0,0
0.75,0.5,500,8,17,499,0,0
0.75,0.5,500,8,18,499,0,0
0.75,0.5,500,8,19,499,0,0
0.75,0.5,500,8,20,499,0,0
0.75,0.75,500,8,1,33,28,5
0.75,0.75,500,8,2,153,120,22
0.75,0.75,500,8,3,417,264,100
0.75,0.75,500,8,4,495,78,208
0.75,0.75,500,8,5,496,1,120
0.75,0.75,500,8,6,496,0,32
0.75,0.75,500,8,7,496,0,8
0.75,0.75,500,8,8,496,0,0
0.75,0.75,500,8,9,496,0,1
0.75,0.75,500,8,10,496,0,0
0.75,0.75,500,8,11,496,0,0
0.75,0.75,500,8,12,496,0,0
0.75,0.75,500,8,13,496,0,0
0.75,0.75,500,8,14,496,0,0
0.75,0.75,500,8,15,496,0,0
0.75,0.75,500,8,16,496,0,0
0.75,0.75,500,8,17,496,0,0
0.75,0.75,500,8,18,496,0,0
0.25,0.25,500,16,1,22,17,1
0.25,0.25,500,16,2,97,75,9
0.25,0.25,500,16,3,296,199,29
0.25,0.25,500,16,4,465,169,71
0.25,0.25,500,16,5,499,34,91
0.25,0.25,500,16,6,500,1,76
0.25,0.25,500,16,7,500,0,42
0.25,0.25,500,16,8,500,0,44
0.25,0.25,500,16,9,500,0,37
0.25,0.25,500,16,10,500,0,27
0.25,0.25,500,16,11,500,0,15
0.25,0.25,500,16,12,500,0,19
0.25,0.25,500,16,13,500,0,9
0.25,0.25,500,16,14,500,0,7
0.25,0.25,500,16,15,500,0,7
0.25,0.25,500,16,16,500,0,4
0.25,0.25,500,16,17,500,0,2
0.25,0.25,500,16,18,500,0,3
0.25,0.25,500,16,19,500,0,0
0.25,0.25,500,16,20,500,0,3
0.25,0.25,500,16,21,500,0,1
0.25,0.25,500,16,22,500,0,0
0.25,0.25,500,16,23,500,0,2
0.25,0.25,500,16,24,500,0,0
0.25,0.25,500,16,25,500,0,1
0.25,0.25,500,16,26,500,0,0
0.25,0.25,500,16,27,500,0,0
0.25,0.25,500,16,28,500,0,0
0.25,0.25,500,16,29,500,0,0
0.25,0.25,500,16,30,500,0,0
0.25,0.25,500,16,31,500,0,0
0.25,0.25,500,16,32,500,0,0
0.25,0.25,500,16,33,500,0,0
0.25,0.25,500,16,34,500,0,0
0.25,0.5,500,16,1,21,16,3
0.25,0.5,500,16,2,82,61,8
0.25,0.5,500,16,3,265,183,38
0.25,0.5,500,16,4,457,192,104
0.25,0.5,500,16,5,495,38,148
0.25,0.5,500,16,6,498,3,100
0.25,0.5,500,16,7,498,0,58
0.25,0.5,500,16,8,499,1,18
0.25,0.5,500,16,9,499,0,13
0.25,0.5,500,16,10,499,0,5
0.25,0.5,500,16,11,499,0,3
0.25,0.5,500,16,12,499,0,1
0.25,0.5,500,16,13,499,0,0
0.25,0.5,500,16,14,499,0,0
0.25,0.5,500,16,15,499,0,0
0.25,0.5,500,16,16,499,0,0
0.25,0.5,500,16,17,499,0,0
0.25,0.5,500,16,18,499,0,0
0.25,0.5,500,16,19,499,0,0
0.25,0.5,500,16,20,499,0,0
0.25,0.5,500,16,21,499,0,0
0.25,0.75,500,16,1,24,19,4
0.25,0.75,500,16,2,87,63,16
0.25,0.75,500,16,3,249,162,51
0.25,0.75,500,16,4,432,183,132
0.25,0.75,500,16,5,492,60,175
0.25,0.75,500,16,6,497,5,91
0.25,0.75,500,16,7,497,0,22
0.25,0.75,500,16,8,497,0,4
0.25,0.75,500,16,9,497,0,1
0.25,0.75,500,16,10,497,0,1
0.25,0.75,500,16,11,497,0,0
0.25,0.75,500,16,12,497,0,0
0.25,0.75,500,16,13,497,0,0
0.25,0.75,500,16,14,497,0,0
0.25,0.75,500,16,15,497,0,0
0.25,0.75,500,16,16,497,0,0
0.25,0.75,500,16,17,497,0,0
0.25,0.75,500,16,18,497,0,0
0.25,0.75,500,16,19,497,0,0
0.5,0.25,500,16,1,31,26,0
0.5,0.25,500,16,2,201,170,7
0.5,0.25,500,16,3,488,287,52
0.5,0.25,500,16,4,500,12,116
0.5,0.25,500,16,5,500,0,69
0.5,0.25,500,16,6,500,0,70
0.5,0.25,500,16,7,500,0,47
0.5,0.25,500,16,8,500,0,26
0.5,0.25,500,16,9,500,0,35
0.5,0.25,500,16,10,500,0,25
0.5,0.25,500,16,11,500,0,15
0.5,0.25,500,16,12,500,0,9
0.5,0.25,500,16,13,500,0,4
0.5,0.25,500,16,14,500,0,10
0.5,0.25,500,16,15,500,0,3
0.5,0.25,500,16,16,500,0,4
0.5,0.25,500,16,17,500,0,3
0.5,0.25,500,16,18,500,0,1
0.5,0.25,500,16,19,500,0,1
0.5,0.25,500,16,20,500,0,1
0.5,0.25,500,16,21,500,0,0
0.5,0.25,500,16,22,500,0,1
0.5,0.25,500,16,23,500,0,0
0.5,0.25,500,16,24,500,0,0
0.5,0.25,500,16,25,500,0,0
0.5,0.25,500,16,26,500,0,0
0.5,0.25,500,16,27,500,0,0
0.5,0.25,500,16,28,500,0,1
0.5,0.25,500,16,29,500,0,0
0.5,0.25,500,16,30,500,0,0
0.5,0.25,500,16,31,500,0,0
0.5,0.25,500,16,32,500,0,0
0.5,0.25,500,16,33,500,0,0
0.5,0.25,500,16,34,500,0,0
0.5,0.25,500,16,35,500,0,0
0.5,0.25,500,16,36,500,0,0
0.5,0.25,500,16,37,500,0,0
0.5,0.5,500,16,1,40,35,4
0.5,0.5,500,16,2,230,190,15
0.5,0.5,500,16,3,491,261,115
0.5,0.5,500,16,4,500,9,162
0.5,0.5,500,16,5,500,0,97
0.5,0.5,500,16,6,500,0,67
0.5,0.5,500,16,7,500,0,20
0.5,0.5,500,16,8,500,0,8
0.5,0.5,500,16,9,500,0,7
0.5,0.5,500,16,10,500,0,3
0.5,0.5,500,16,11,500,0,1
0.5,0.5,500,16,12,500,0,0
0.5,0.5,500,16,13,500,0,1
0.5,0.5,500,16,14,500,0,0
0.5,0.5,500,16,15,500,0,0
0.5,0.5,500,16,16,500,0,0
0.5,0.5,500,16,17,500,0,0
0.5,0.5,500,16,18,500,0,0
0.5,0.5,500,16,19,500,0,0
0.5,0.5,500,16,20,500,0,0
0.5,0.5,500,16,21,500,0,0
0.5,0.5,500,16,22,500,0,0
0.5,0.75,500,16,1,48,43,3
0.5,0.75,500,16,2,269,221,36
0.5,0.75,500,16,3,496,227,192
0.5,0.75,500,16,4,499,3,182
0.5,0.75,500,16,5,500,1,66
0.5,0.75,500,16,6,500,0,15
0.5,0.75,500,16,7,500,0,4
0.5,0.75,500,16,8,500,0,2
0.5,0.75,500,16,9,500,0,0
0.5,0.75,500,16,10,500,0,0
0.5,0.75,500,16,11,500,0,0
0.5,0.75,500,16,12,500,0,0
0.5,0.75,500,16,13,500,0,0
0.5,0.75,500,16,14,500,0,0
0.5,0.75,500,16,15,500,0,0
0.5,0.75,500,16,16,500,0,0
0.5,0.75,500,16,17,500,0,0
0.75,0.25,500,16,1,58,53,2
0.75,0.25,500,16,2,361,303,7
0.75,0.25,500,16,3,500,139,87
0.75,0.25,500,16,4,500,0,93
0.75,0.25,500,16,5,500,0,90
0.75,0.25,500,16,6,500,0,52
0.75,0.25,500,16,7,500,0,40
0.75,0.25,500,16,8,500,0,41
0.75,0.25,500,16,9,500,0,23
0.75,0.25,500,16,10,500,0,14
0.75,0.25,500,16,11,500,0,18
0.75,0.25,500,16,12,500,0,12
0.75,0.25,500,16,13,500,0,5
0.75,0.25,500,16,14,500,0,5
0.75,0.25,500,16,15,500,0,5
0.75,0.25,500,16,16,500,0,0
0.75,0.25,500,16,17,500,0,0
0.75,0.25,500,16,18,500,0,2
0.75,0.25,500,16,19,500,0,0
0.75,0.25,500,16,20,500,0,1
0.75,0.25,500,16,21,500,0,0
0.75,0.25,500,16,22,500,0,0
