infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.75,0.25,500,8,10,393,0,20
0.75,0.25,500,8,11,393,0,16
0.75,0.25,500,8,12,393,0,8
0.75,0.25,500,8,13,393,0,10
0.75,0.25,500,8,14,393,0,6
0.75,0.25,500,8,15,393,0,2
0.75,0.25,500,8,16,393,0,2
0.75,0.25,500,8,17,393,0,2
0.75,0.25,500,8,18,393,0,2
0.75,0.25,500,8,19,393,0,2
0.75,0.25,500,8,20,393,0,0
0.75,0.25,500,8,21,393,0,0
0.75,0.25,500,8,22,393,0,0
0.75,0.25,500,8,23,393,0,1
0.75,0.25,500,8,24,393,0,0
0.75,0.25,500,8,25,393,0,0
0.75,0.25,500,8,26,393,0,0
0.75,0.25,500,8,27,393,0,0
0.75,0.25,500,8,28,393,0,0
0.75,0.25,500,8,29,393,0,0
0.75,0.25,500,8,30,393,0,0
0.75,0.25,500,8,31,393,0,0
0.75,0.25,500,8,32,393,0,0
0.75,0.5,500,8,1,43,38,4
0.75,0.5,500,8,2,237,194,20
0.75,0.5,500,8,3,351,114,116
0.75,0.5,500,8,4,379,28,104
0.75,0.5,500,8,5,384,5,68
0.75,0.5,500,8,6,384,0,33
0.75,0.5,500,8,7,384,0,16
0.75,0.5,500,8,8,384,0,13
0.75,0.5,500,8,9,384,0,6
0.75,0.5,500,8,10,384,0,3
0.75,0.5,500,8,11,384,0,0
0.75,0.5,500,8,12,384,0,0
0.75,0.5,500,8,13,384,0,1
0.75,0.5,500,8,14,384,0,0
0.75,0.5,500,8,15,384,0,0
0.75,0.5,500,8,16,384,0,0
0.75,0.5,500,8,17,384,0,0
0.75,0.5,500,8,18,384,0,0
0.75,0.5,500,8,19,384,0,0
0.75,0.5,500,8,20,384,0,0
0.75,0.5,500,8,21,384,0,0
0.75,0.5,500,8,22,384,0,0
0.75,0.75,500,8,1,39,34,4
0.75,0.75,500,8,2,223,184,24
0.75,0.75,500,8,3,361,138,156
0.75,0.75,500,8,4,376,15,136
0.75,0.75,500,8,5,377,1,43
0.75,0.75,500,8,6,377,0,10
0.75,0.75,500,8,7,377,0,3
0.75,0.75,500,8,8,377,0,1
0.75,0.75,500,8,9,377,0,0
0.75,0.75,500,8,10,377,0,0
0.75,0.75,500,8,11,377,0,0
0.75,0.75,500,8,12,377,0,0
0.75,0.75,500,8,13,377,0,0
0.75,0.75,500,8,14,377,0,0
0.75,0.75,500,8,15,377,0,0
0.75,0.75,500,8,16,377,0,0
0.75,0.75,500,8,17,377,0,0
0.25,0.25,500,16,1,24,19,0
0.25,0.25,500,16,2,166,142,8
0.25,0.25,500,16,3,305,139,46
0.25,0.25,500,16,4,364,59,58
0.25,0.25,500,16,5,387,23,61
0.25,0.25,500,16,6,395,8,50
0.25,0.25,500,16,7,397,2,40
0.25,0.25,500,16,8,401,4,39
0.25,0.25,500,16,9,405,4,30
0.25,0.25,500,16,10,405,0,22
0.25,0.25,500,16,11,406,1,13
0.25,0.25,500,16,12,406,0,8
0.25,0.25,500,16,13,406,0,10
0.25,0.25,500,16,14,406,0,0
0.25,0.25,500,16,15,406,0,8
0.25,0.25,500,16,16,406,0,8
0.25,0.25,500,16,17,406,0,1
0.25,0.25,500,16,18,406,0,1
0.25,0.25,500,16,19,406,0,0
0.25,0.25,500,16,20,406,0,2
0.25,0.25,500,16,21,406,0,0
0.25,0.25,500,16,22,406,0,0
0.25,0.25,500,16,23,406,0,0
0.25,0.25,500,16,24,406,0,0
0.25,0.25,500,16,25,406,0,0
0.25,0.25,500,16,26,406,0,1
0.25,0.25,500,16,27,406,0,0
0.25,0.25,500,16,28,406,0,0
0.25,0.25,500,16,29,406,0,0
0.25,0.25,500,16,30,406,0,0
0.25,0.25,500,16,31,406,0,0
0.25,0.25,500,16,32,406,0,0
0.25,0.25,500,16,33,406,0,0
0.25,0.25,500,16,34,406,0,0
0.25,0.25,500,16,35,406,0,0
0.25,0.5,500,16,1,9,4,3
0.25,0.5,500,16,2,26,17,1
0.25,0.5,500,16,3,170,144,13
0.25,0.5,500,16,4,316,146,78
0.25,0.5,500,16,5,360,44,116
0.25,0.5,500,16,6,377,17,74
0.25,0.5,500,16,7,383,6,46
0.25,0.5,500,16,8,383,0,30
0.25,0.5,500,16,9,383,0,14
0.25,0.5,500,16,10,383,0,4
0.25,0.5,500,16,11,383,0,2
0.25,0.5,500,16,12,383,0,1
0.25,0.5,500,16,13,383,0,0
0.25,0.5,500,16,14,383,0,0
0.25,0.5,500,16,15,383,0,1
0.25,0.5,500,16,16,383,0,0
0.25,0.5,500,16,17,383,0,0
0.25,0.5,500,16,18,383,0,0
0.25,0.5,500,16,19,383,0,0
0.25,0.5,500,16,20,383,0,0
0.25,0.5,500,16,21,383,0,0
0.25,0.5,500,16,22,383,0,0
0.25,0.5,500,16,23,383,0,0
0.25,0.5,500,16,24,383,0,0
0.25,0.75,500,16,1,13,8,3
0.25,0.75,500,16,2,81,68,7
0.25,0.75,500,16,3,252,171,59
0.25,0.75,500,16,4,324,72,130
0.25,0.75,500,16,5,345,21,87
0.25,0.75,500,16,6,351,6,44
0.25,0.75,500,16,7,353,2,15
0.25,0.75,500,16,8,354,1,6
0.25,0.75,500,16,9,354,0,3
0.25,0.75,500,16,10,354,0,0
