generator,graph_id,config,method,khop,time
Scale Free,e13,4,adjmat,3,0.092259297
Scale Free,e13,4,adjmat,4,7.753073708
Scale Free,e14,4,adjmat,2,0.003389756
Scale Free,e14,4,adjmat,3,0.057213859
Scale Free,e14,4,adjmat,4,5.897022066
Scale Free,e15,4,adjmat,2,0.002303492
Scale Free,e15,4,adjmat,3,0.04783625
Scale Free,e15,4,adjmat,4,6.423956337
Scale Free,e16,5,adjmat,2,0.005584497
Scale Free,e16,5,adjmat,3,0.462057703
Scale Free,e16,5,adjmat,4,30.37044353
Scale Free,e1,0,incmat,2,3.59E-04
Scale Free,e1,0,incmat,3,7.93E-04
Scale Free,e1,0,incmat,4,0.004135693
Scale Free,e2,0,incmat,2,3.16E-04
Scale Free,e2,0,incmat,3,0.001060066
Scale Free,e2,0,incmat,4,0.003272507
Scale Free,e3,0,incmat,2,3.29E-04
Scale Free,e3,0,incmat,3,8.21E-04
Scale Free,e3,0,incmat,4,0.007494799
Scale Free,e4,1,incmat,2,0.001729862
Scale Free,e4,1,incmat,3,0.013592664
Scale Free,e4,1,incmat,4,0.359050986
Scale Free,e5,1,incmat,2,0.001382332
Scale Free,e5,1,incmat,3,0.013464358
Scale Free,e5,1,incmat,4,0.224161563
Scale Free,e6,1,incmat,2,0.001657323
Scale Free,e6,1,incmat,3,0.010960184
Scale Free,e6,1,incmat,4,0.348906168
Scale Free,e7,2,incmat,2,0.002912257
Scale Free,e7,2,incmat,3,0.076954922
Scale Free,e7,2,incmat,4,4.545559482
Scale Free,e8,2,incmat,2,0.004019031
Scale Free,e8,2,incmat,3,0.062438924
Scale Free,e8,2,incmat,4,3.123074117
Scale Free,e9,2,incmat,2,0.003757228
Scale Free,e9,2,incmat,3,0.102175738
Scale Free,e9,2,incmat,4,3.165910145
Scale Free,e10,3,incmat,2,0.001840309
Scale Free,e10,3,incmat,3,0.009982666
Scale Free,e10,3,incmat,4,0.197884471
Scale Free,e11,3,incmat,2,0.001167201
Scale Free,e11,3,incmat,3,0.012330189
Scale Free,e11,3,incmat,4,0.150050098
Scale Free,e12,3,incmat,2,0.00143711
Scale Free,e12,3,incmat,3,0.004097666
Scale Free,e12,3,incmat,4,0.142734483
Scale Free,e13,4,incmat,2,0.009096824
Scale Free,e13,4,incmat,3,0.511696197
Scale Free,e13,4,incmat,4,21.77143943
Scale Free,e14,4,incmat,2,0.01180429
Scale Free,e14,4,incmat,3,0.486117203
Scale Free,e14,4,incmat,4,17.6043723
Scale Free,e15,4,incmat,2,0.008697696
Scale Free,e15,4,incmat,3,0.239762657
Scale Free,e15,4,incmat,4,12.86138857
Scale Free,e16,5,incmat,2,0.02618779
Scale Free,e16,5,incmat,3,1.058674664
Scale Free,e16,5,incmat,4,191.4828334
Erdos Renyi,e17,5,adjlist,2,3.30E-04
Erdos Renyi,e17,5,adjlist,3,0.041407056
Erdos Renyi,e17,5,adjlist,4,1.237283656
Erdos Renyi,e18,5,adjlist,2,3.44E-04
Erdos Renyi,e18,5,adjlist,3,0.039971099
Erdos Renyi,e18,5,adjlist,4,1.218354277
Erdos Renyi,e19,6,adjlist,2,2.17E-05
Erdos Renyi,e19,6,adjlist,3,2.31E-05
Erdos Renyi,e19,6,adjlist,4,3.88E-05
Erdos Renyi,e20,6,adjlist,2,2.33E-05
Erdos Renyi,e20,6,adjlist,3,2.89E-05
Erdos Renyi,e20,6,adjlist,4,4.88E-05
Erdos Renyi,e21,6,adjlist,2,2.07E-05
Erdos Renyi,e21,6,adjlist,3,2.93E-05
Erdos Renyi,e21,6,adjlist,4,5.03E-05
Erdos Renyi,e22,7,adjlist,2,1.15E-04
Erdos Renyi,e22,7,adjlist,3,0.001039718
Erdos Renyi,e22,7,adjlist,4,0.069941664
Erdos Renyi,e23,7,adjlist,2,9.24E-05
Erdos Renyi,e23,7,adjlist,3,0.001264899
Erdos Renyi,e23,7,adjlist,4,0.066037971
Erdos Renyi,e17,5,adjmat,2,0.004158125
